Random Action g=1,,Random Action g=4,,Vert + Vel g=1,,Vert + Vel g=4,,Scaled Vert + Vel g=1,,Scaled Vert + Vel g=4,,Jump Spamming g=1,,Jump Spamming g=4,,Tuning Jump Spamming g=1,,Tuning Jump Spamming g=4
0,,0,,1,,22,,1,,181,,1,,290,,1,,1572
0,,0,,1,,100,,1,,357,,1,,443,,1,,1770
0,,0,,1,,104,,1,,365,,1,,581,,1,,2562
0,,0,,1,,194,,1,,535,,1,,755,,1,,2681
0,,0,,1,,216,,1,,540,,1,,1082,,2,,2700
0,,0,,1,,284,,1,,633,,1,,1108,,2,,3616
0,,0,,1,,637,,1,,964,,2,,1158,,2,,4902
0,,0,,1,,643,,2,,968,,2,,1159,,3,,5001
0,,0,,1,,706,,2,,971,,2,,1176,,3,,5001
0,,0,,2,,756,,2,,991,,2,,1495,,3,,5001
0,,0,,2,,910,,2,,1065,,3,,2064,,3,,5001
0,,1,,2,,991,,2,,1431,,3,,2472,,4,,5001
0,,1,,2,,1058,,2,,1710,,4,,2742,,7,,5001
0,,1,,3,,1204,,2,,1831,,5,,3572,,7,,5001
0,,1,,3,,1231,,3,,1931,,6,,3615,,9,,5001
0,,1,,3,,1977,,4,,2073,,10,,3895,,9,,5001
0,,1,,3,,1981,,4,,2282,,10,,4181,,12,,5001
0,,1,,4,,2593,,6,,2982,,12,,8421,,13,,5001
1,,1,,5,,3154,,7,,4081,,16,,12848,,28,,5001
1,,1,,5,,4300,,8,,9824,,26,,22042,,31,,5001
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,^cut off at 5000 as it just kept going otherwise
